Pre_Loom_300,Pre_Loom_800,Pre_Loom_1500,Pre_Loom_2200,Pre_Loom_2700,Post_Loom_300,Post_Loom_800,Post_Loom_1500,Post_Loom_2200,Post_Loom_2700,CP_pre,CP_post,Slope_pre,Slope_post
267,281,279,249,262,299,284,300,270,290,1678,656,-0.109,-0.006
551,431,445,420,395,481,459,355,381,381,808,872,-0.090,-0.675
440,428,399,405,377,428,409,377,351,363,1530,1250,-0.028,-0.056
416,486,429,395,405,457,445,418,397,396,854,1298,-0.023,-0.049
413,417,425,391,388,519,476,455,427,435,2076,1038,-0.182,-0.058
482,484,462,445,392,532,481,415,481,492,2151,2019,-0.076,-0.012
546,631,529,470,487,487,583,437,407,420,1227,1069,-0.071,-0.089
348,394,358,374,324,382,342,348,380,333,1645,1437,-0.012,-0.008
418,437,412,425,392,463,416,436,412,408,1819,906,-0.012,-0.023
342,351,323,318,331,388,378,345,350,354,1358,852,-0.099,-0.247
474,485,493,470,437,453,429,433,419,398,2215,1614,-0.381,-0.021
248,264,275,270,310,323,332,280,273,299,1866,1369,0.023,-0.235
408,411,397,354,332,401,392,415,386,365,1936,1823,-0.076,-0.016
342,328,339,394,346,403,384,315,309,302,2226,1102,0.017,-0.122
458,439,421,432,375,457,390,365,335,351,1923,899,-0.032,-0.090
323,312,281,264,264,325,335,269,268,266,1234,1322,-0.054,-0.302
230,243,245,230,222,237,251,233,253,245,2182,1163,-0.175,0.003
452,469,423,438,431,465,453,446,442,515,1157,2459,-0.020,0.874
336,360,289,309,280,326,314,308,307,266,1240,2076,-0.046,-0.030
504,481,545,386,447,601,445,454,381,494,1753,1018,-0.044,-0.065
